"","Entity","Code","Year","World Population over 12000 years (people)","century"
"46","HYDE 3.1",NA,-10000,2431214021,-10000
"47","HYDE 3.1",NA,-9000,3564407699,-9000
"48","HYDE 3.1",NA,-8000,5136461796,-8000
"49","HYDE 3.1",NA,-7000,7561695768,-7000
"50","HYDE 3.1",NA,-6000,1146100334,-6000
"51","HYDE 3.1",NA,-5000,1792017232,-5000
"52","HYDE 3.1",NA,-4000,2837042982,-4000
"53","HYDE 3.1",NA,-3000,4481989272,-3000
"54","HYDE 3.1",NA,-2000,7210813252,-2000
"55","HYDE 3.1",NA,-1000,1150656656,-1000
"56","HYDE 3.1",NA,1,1882390904,0
"57","HYDE 3.1",NA,100,1950621925,100
"58","HYDE 3.1",NA,200,2023095529,200
